id,name,address,city,latitude,longitude,phone,services,image_url,source_url,scraped_at
415,Şəmkir-Q,"Şəmkir rayonu, Seyfəli Ə/V, AZ 5700",Şəmkir,40.73562,46.22226,(050) 225-08-56,Azpetrol kartlarına xidmət; Bank kartlarına xidmət; Kafe; YDM; Ödəmə terminalları,https://qnela1.azpetrol.com/uploads/image_3afff983e5.jpg,https://www.azpetrol.com/service-network,2025-12-17T14:36:57.003496
418,Mayak,"Bakı şəhəri, Qaradağ rayonu, Qaradağ qəsəbəsi, Puta mayakının Şimal Qərb hissəsi, AZ 1083",Bakı,40.2859,49.73311,(012) 447-51-29,Azpetrol kartlarına xidmət; Bank kartlarına xidmət; Bankomat; CNG qaz (Metan); Elektromobillərin doldurma xidməti; Kafe; YDM; Ödəmə terminalları,https://qnela1.azpetrol.com/uploads/image_71bacff448.jpg,https://www.azpetrol.com/service-network,2025-12-17T14:36:57.003496
421,Sabirabad,"Sabirabad rayonu, Qalayağın kəndi, AZ 5423",Sabirabad,39.97764,48.45468,(021) 238-32-40,Avtoyuma; Azpetrol kartlarına xidmət; Bank kartlarına xidmət; Bankomat; Kafe; YDM,https://qnela1.azpetrol.com/uploads/image_fd5e71e5d3.jpg,https://www.azpetrol.com/service-network,2025-12-17T14:36:57.003496
424,Babək 2,"Bakı şəhəri, Nizami rayonu, Babək prospekti, ev 2276-77, AZ 1142",Bakı,40.39114,49.90792,(012) 480-50-16,Azpetrol kartlarına xidmət; Bank kartlarına xidmət; QDM (Propan-Butan); YDM,https://qnela1.azpetrol.com/uploads/image_ab475258df.jpg,https://www.azpetrol.com/service-network,2025-12-17T14:36:57.003496
427,Nobel 2,"Bakı şəhəri, Xətai rayonu, 8 Noyabr prospekti, 1240-cı məhəllə, AZ 1026",Bakı,40.37881,49.88226,(050) 850-95-63,Azpetrol kartlarına xidmət; Bank kartlarına xidmət; Maye qaz postu (LPG),https://qnela1.azpetrol.com/uploads/image_f21a30d759.jpg,https://www.azpetrol.com/service-network,2025-12-17T14:36:57.003496
430,Mayak 3,"Bakı şəhəri, Qaradağ rayonu, Qaradağ qəsəbəsi, Puta mayakının Şimal Qərb hissəsi, AZ 1083",Bakı,40.28598,49.73331,(050) 218-57-71,Azpetrol kartlarına xidmət; Bank kartlarına xidmət; QDM (Propan-Butan),https://qnela1.azpetrol.com/uploads/image_237968825a.jpg,https://www.azpetrol.com/service-network,2025-12-17T14:36:57.003496
433,Gəncə-Nizami,"Goranboy rayonu, Nizami kəndi, AZ 2235",Goranboy,40.68925,46.48804,(050) 225-28-03,Azpetrol kartlarına xidmət; Bank kartlarına xidmət; Kafe; YDM,https://qnela1.azpetrol.com/uploads/image_59df595c2c.jpg,https://www.azpetrol.com/service-network,2025-12-17T14:36:57.003496
436,Gəncə-Büllur,"Gəncə şəhəri, Şəmkir yolunun sağ tərəfi, AZ 2021",Gəncə,40.69365,46.33177,(022) 264-37-00,Avtoyuma; Azpetrol kartlarına xidmət; Bank kartlarına xidmət; Kafe; YDM; Ödəmə terminalları,https://qnela1.azpetrol.com/uploads/image_5fe7159ce2.jpg,https://www.azpetrol.com/service-network,2025-12-17T14:36:57.003496
439,Masallı,"Masallı rayonu, Masallı şəhəri, Bakı-Astara şossesi, AZ 4400",Masallı,39.03461,48.68508,(025) 215-16-78,Avtoyuma; Azpetrol kartlarına xidmət; Bank kartlarına xidmət; Bankomat; Kafe; YDM,https://qnela1.azpetrol.com/uploads/image_bca3fb5143.jpg,https://www.azpetrol.com/service-network,2025-12-17T14:36:57.003496
442,Ağdaş,"Ağdaş rayonu, Məşədi kəndi, AZ 0300",Ağdaş,40.64128,47.49188,(020) 235-31-62,Azpetrol kartlarına xidmət; Bank kartlarına xidmət; Bankomat; Kafe; YDM,https://qnela1.azpetrol.com/uploads/image_149b70614e.jpg,https://www.azpetrol.com/service-network,2025-12-17T14:36:57.003496
