company,name,address,city,latitude,longitude,phone,connector_types,amenities,quantity,tariffs,is_24_7,station_id,source_url,scraped_at
AYNA (Gov),"Xətai ""Ağ şəhər-1"" YS","8 Noyabr, Xətai, Bakı, Azərbaycan, AZ1025",Bakı,40.37813044914182,49.89751632898651,-,Caravan Mains Socket; CSS Combo 1; CSS Combo 2; CHAdeMO; Commando; GB/T; GB/T 2; NEMA 14-50; NEMA TT-30; Tesla; Tesla (Fast); Tesla (Roadster); Three Phase; Type 1 (J1772); Type 2 (Mennekes); Type 3; Type 3A; Wall; Wall (AU/NZ); Wall (BS1363); Wall (Euro),Cafe; WC,-,-,Yes,66d025c8a5ab6aafb9d7ff5d,https://edm.ayna.gov.az/,2025-12-18T20:12:21.440032
AYNA (Gov),"Sabunçu ""Sea Breeze"" yaşayış kompleksinin parkinq ərazisi","""Sea Breeze"" yaşayış kompleksinin ərazisi","""Sea Breeze"" yaşayış kompleksinin ərazisi",40.59159713758291,49.98607275586215,-,Caravan Mains Socket; CSS Combo 1; CSS Combo 2; CHAdeMO; Commando; GB/T; GB/T 2; NEMA 14-50; NEMA TT-30; Tesla; Tesla (Fast); Tesla (Roadster); Three Phase; Type 1 (J1772); Type 2 (Mennekes); Type 3; Type 3A; Wall; Wall (AU/NZ); Wall (BS1363); Wall (Euro),Cafe; WC,-,-,Yes,66d02e15e307912f0379d56d,https://edm.ayna.gov.az/,2025-12-18T20:12:21.440049
AYNA (Gov),"Sabunçu ""Sea Breeze"" 110/35 kV YS","""Sea Breeze"" Landau yaşayış kompleksinin ərazisi","""Sea Breeze"" Landau yaşayış kompleksinin ərazisi",40.56757931894953,49.94225694742434,-,Caravan Mains Socket; CSS Combo 1; CSS Combo 2; CHAdeMO; Commando; GB/T; GB/T 2; NEMA 14-50; NEMA TT-30; Tesla; Tesla (Fast); Tesla (Roadster); Three Phase; Type 1 (J1772); Type 2 (Mennekes); Type 3; Type 3A; Wall; Wall (AU/NZ); Wall (BS1363); Wall (Euro),Cafe; WC,-,-,Yes,66d03097a5ab6aafb9d7ff60,https://edm.ayna.gov.az/,2025-12-18T20:12:21.440069
AYNA (Gov),Yasamal 120 saylı YS,"Şəfaət Mehdiyev, Yasamal, Bakı, Azərbaycan, AZ1065",Bakı,40.37831114068757,49.81726618639104,-,Caravan Mains Socket; CSS Combo 1; CSS Combo 2; CHAdeMO; Commando; GB/T; GB/T 2; NEMA 14-50; NEMA TT-30; Tesla; Tesla (Fast); Tesla (Roadster); Three Phase; Type 1 (J1772); Type 2 (Mennekes); Type 3; Type 3A; Wall; Wall (AU/NZ); Wall (BS1363); Wall (Euro),Cafe; WC,2,-,Yes,66d03334e307912f0379d56e,https://edm.ayna.gov.az/,2025-12-18T20:12:21.440091
AYNA (Gov),"Səbail ""Liman"" YS","""Ağ şəhər bulvarı""-nın dairəsi","""Ağ şəhər bulvarı""-nın dairəsi",40.37551029537107,49.863749693211645,-,Caravan Mains Socket; CSS Combo 1; CSS Combo 2; CHAdeMO; Commando; GB/T; GB/T 2; NEMA 14-50; NEMA TT-30; Tesla; Tesla (Fast); Tesla (Roadster); Three Phase; Type 1 (J1772); Type 2 (Mennekes); Type 3; Type 3A; Wall; Wall (AU/NZ); Wall (BS1363); Wall (Euro),Cafe; WC,-,-,Yes,66d03506e307912f0379d56f,https://edm.ayna.gov.az/,2025-12-18T20:12:21.440113
AYNA (Gov),Nizami küçəsi 111,"""Landmark"" BM-nin yaxınlığı","""Landmark"" BM-nin yaxınlığı",40.37632917584392,49.850916371229374,-,Caravan Mains Socket; CSS Combo 1; CSS Combo 2; CHAdeMO; Commando; GB/T; GB/T 2; NEMA 14-50; NEMA TT-30; Tesla; Tesla (Fast); Tesla (Roadster); Three Phase; Type 1 (J1772); Type 2 (Mennekes); Type 3; Type 3A; Wall; Wall (AU/NZ); Wall (BS1363); Wall (Euro),Cafe; WC,2,-,Yes,66d03659e307912f0379d570,https://edm.ayna.gov.az/,2025-12-18T20:12:21.440130
AYNA (Gov),Nərimanov Atatürk Parkı,"Atatürk, Nərimanov, Bakı, Azərbaycan, AZ1110",Bakı,40.40123232536831,49.850690554734314,-,Caravan Mains Socket; CSS Combo 1; CSS Combo 2; CHAdeMO; Commando; GB/T; GB/T 2; NEMA 14-50; NEMA TT-30; Tesla; Tesla (Fast); Tesla (Roadster); Three Phase; Type 1 (J1772); Type 2 (Mennekes); Type 3; Type 3A; Wall; Wall (AU/NZ); Wall (BS1363); Wall (Euro),Cafe; WC,2,-,Yes,66d05167a77f2d845324dd46,https://edm.ayna.gov.az/,2025-12-18T20:12:21.440150
AYNA (Gov),Nərimanov 215 saylı YS,"Aşıq Molla Cümə, Nərimanov, Bakı, Azərbaycan, AZ1052",Bakı,40.40444615960712,49.86274141185527,-,Caravan Mains Socket; CSS Combo 1; CSS Combo 2; CHAdeMO; Commando; GB/T; GB/T 2; NEMA 14-50; NEMA TT-30; Tesla; Tesla (Fast); Tesla (Roadster); Three Phase; Type 1 (J1772); Type 2 (Mennekes); Type 3; Type 3A; Wall; Wall (AU/NZ); Wall (BS1363); Wall (Euro),Cafe; WC,2,-,Yes,66d051fea77f2d845324dd47,https://edm.ayna.gov.az/,2025-12-18T20:12:21.440172
AYNA (Gov),"Nərimanov ""McDonald's"" Gənclik",Vaqif pr. Atatürk pr. kəsişməsi,Vaqif pr. Atatürk pr. kəsişməsi,40.3992218845942,49.84961624949207,-,Caravan Mains Socket; CSS Combo 1; CSS Combo 2; CHAdeMO; Commando; GB/T; GB/T 2; NEMA 14-50; NEMA TT-30; Tesla; Tesla (Fast); Tesla (Roadster); Three Phase; Type 1 (J1772); Type 2 (Mennekes); Type 3; Type 3A; Wall; Wall (AU/NZ); Wall (BS1363); Wall (Euro),Cafe; WC,2,-,Yes,66d05440a5ab6aafb9d7ff62,https://edm.ayna.gov.az/,2025-12-18T20:12:21.440188
AYNA (Gov),"Səbail ""Içərişəhər"" YS","Neftçilər, Səbail, Bakı, Azərbaycan, AZ1000",Bakı,40.35729621047173,49.833833626090154,-,Caravan Mains Socket; CSS Combo 1; CSS Combo 2; CHAdeMO; Commando; GB/T; GB/T 2; NEMA 14-50; NEMA TT-30; Tesla; Tesla (Fast); Tesla (Roadster); Three Phase; Type 1 (J1772); Type 2 (Mennekes); Type 3; Type 3A; Wall; Wall (AU/NZ); Wall (BS1363); Wall (Euro),Cafe; WC,-,-,Yes,66d054e0e307912f0379d575,https://edm.ayna.gov.az/,2025-12-18T20:12:21.440207
